current_root,current_page,match_count,quality,high_quality,high_quality_scope,link,match_words,found_in,hops_from_start_root
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1099033610886238208,1,2,False,N\A,/OkWaterWise,['Water'],href,4
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1099033610886238208,1,2,False,N\A,/OkWaterWise,['Water'],href,4
['https://www.youtube.com/'],https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,/user/OKBasinWaterBoard,['Water'],href,4
['https://www.youtube.com/'],https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,/user/OKBasinWaterBoard,['Water'],href,4
['https://www.youtube.com/'],https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,/user/OKBasinWaterBoard,['Water'],href,4
['https://www.youtube.com/'],https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,/user/OKBasinWaterBoard,['Water'],href,4
['https://www.youtube.com/'],https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,/user/OKBasinWaterBoard,['Water'],href,4
['https://www.youtube.com/'],https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,/user/OKBasinWaterBoard,['Water'],href,4
['https://www.youtube.com/'],https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,/user/OKBasinWaterBoard,['Water'],href,4
['https://www.youtube.com/'],https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,/user/OKBasinWaterBoard,['Water'],href,4
['https://www.youtube.com/'],https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,/user/OKBasinWaterBoard,['Water'],href,4
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,22,True,https://www.obwb.ca/tag/water-quality-improvement/,https://www.obwb.ca/tag/water-quality-improvement/,['water'],href,4
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.obwb.ca/tag/water-supply/,['water'],href,4
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.obwb.ca/tag/water-sustainability-act/,['water'],href,4
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,22,True,https://www.obwb.ca/newsite/water-quality-improvement/,https://www.obwb.ca/newsite/water-quality-improvement/,['water'],href,4
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/status/1086709999626260482,['Water'],href,4
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1099033610886238208,1,2,False,N\A,/OkWaterWise/status/1099033610886238208,['Water'],href,4
['https://www.youtube.com/'],https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,/user/OKBasinWaterBoard,['Water'],href,4
['https://www.youtube.com/'],https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,/user/ILoveBCWater,['Water'],href,4
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.obwb.ca/newsite/collaborative-water-management/,['water'],href,4
['https://www.obwb.ca/'],https://www.obwb.ca/overview/collaborative-water-management/,1,1.8,False,N\A,https://www.obwb.ca/about-the-council/,['Water'],anchor,5
['https://www.youtube.com/'],https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,/user/ILoveBCWater,['Water'],href,5
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,2,3.6,False,N\A,https://www.obwb.ca/,"['Water', 'Water']",anchor,5
['https://www.obwb.ca/'],https://www.obwb.ca/overview/collaborative-water-management/,1,2,False,N\A,https://www.obwb.ca/overview/collaborative-water-management/,['water'],href,5
['https://www.obwb.ca/'],https://www.obwb.ca/overview/collaborative-water-management/,1,22,True,https://www.obwb.ca/overview/water-quality-improvement/,https://www.obwb.ca/overview/water-quality-improvement/,['water'],href,5
['https://www.obwb.ca/'],https://www.obwb.ca/overview/collaborative-water-management/,1,2,False,N\A,https://facebook.com/OkWaterWise,['Water'],href,5
['https://www.obwb.ca/'],https://www.obwb.ca/overview/collaborative-water-management/,1,2,False,N\A,https://www.instagram.com/okanagan_waterwise/,['water'],href,5
['https://www.obwb.ca/'],https://www.obwb.ca/overview/collaborative-water-management/,1,2,False,N\A,https://twitter.com/OkWaterWise,['Water'],href,5
['https://www.obwb.ca/'],https://www.obwb.ca/overview/collaborative-water-management/,1,2,False,N\A,https://www.youtube.com/user/OKBasinWaterBoard,['Water'],href,5
['https://www.obwb.ca/'],https://www.obwb.ca/overview/collaborative-water-management/,1,2,False,N\A,https://www.obwb.ca/overview-grants/funding-for-water-science-and-policy-projects/,['water'],href,5
['https://www.obwb.ca/'],https://www.obwb.ca/overview/collaborative-water-management/,1,2,False,N\A,https://www.obwb.ca/milfoil/about-eurasian-watermilfoil/,['water'],href,5
