current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/status/1093692004725415936,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/status/1091924873364946945,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/status/1091806223626833920,1,2,False,N\A,['Water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/about-the-council/,1,1.8,False,N\A,['Water'],anchor
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/overview/collaborative-water-management/,1,2,False,N\A,['water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/overview/water-quality-improvement/,1,22,True,https://www.obwb.ca/overview/water-quality-improvement/,['water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://facebook.com/OkWaterWise,1,2,False,N\A,['Water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.instagram.com/okanagan_waterwise/,1,2,False,N\A,['water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://twitter.com/OkWaterWise,1,2,False,N\A,['Water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,['Water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/overview-grants/funding-for-water-science-and-policy-projects/,1,2,False,N\A,['water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/milfoil/about-eurasian-watermilfoil/,1,2,False,N\A,['water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/overview/water-quality-improvement/,1,22,True,https://www.obwb.ca/overview/water-quality-improvement/,['water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/water-quality-monitoring/,1,22,True,https://www.obwb.ca/water-quality-monitoring/,['water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/well/,1,2,False,N\A,['well'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/reporting/,3,5.4,False,N\A,"['Pollution', 'ion', 'on']",anchor
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/library/slow-it-spread-it-sink-it/,1,1.8,False,N\A,['water'],anchor
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/overview-grants/wcqi/,1,19.8,True,"<a href=""https://www.obwb.ca/overview-grants/wcqi/"">Water Conservation &amp; Quality</a>",['Water'],anchor
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/overview/collaborative-water-management/,1,2,False,N\A,['water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/well/,1,2,False,N\A,['well'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/ag/,1,1.8,False,N\A,['Water'],anchor
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,http://www.makewaterwork.ca,1,2,False,N\A,['water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,http://www.makewaterwork.ca/plants,1,2,False,N\A,['water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/overview-grants/wcqi/,1,1.8,False,N\A,['Water'],anchor
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/wsd,1,1.8,False,N\A,['Water'],anchor
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/tools/bc-water-use-reporting-centre/,1,2,False,N\A,['water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/library/okanagan-sustainable-water-strategy/,1,2,False,N\A,['water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/library/okanagan-sustainable-water-strategy/,1,2,False,N\A,['water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1102778332175728642,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,http://obwb.ca/wsd,1,1.8,False,N\A,['Water'],anchor
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/tag/o_wsc/,1,1.8,False,N\A,['Water'],anchor
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1102778332175728642,https://pbs.twimg.com/profile_images/892102006/OK_waterwise_logo_400x400.jpg,1,2,False,N\A,['water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1102778332175728642,https://pbs.twimg.com/profile_images/892102006/OK_waterwise_logo.jpg,1,2,False,N\A,['water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1102778332175728642,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1102778332175728642,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1102778332175728642,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1102778332175728642,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1102778332175728642,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/newsite/okanagan-water-stewardship-council-wins-national-award-of-excellence/,1,2,False,N\A,['water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,http://bcwaterusereporting.ca,1,2,False,N\A,['water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/tools/bc-water-use-reporting-centre/,1,2,False,N\A,['water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/water-conference-brings-native-non-natives-together/,1,2,False,N\A,['water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1102778332175728642,/OkWaterWise/status/1102778332175728642,1,2,False,N\A,['Water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/okanagan-water-conference-builds-connections/,1,2,False,N\A,['water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/water-board-recognizes-water-conservation-winners/,2,4,False,N\A,"['water', 'water']",href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/tag/canada-water-week/,1,2,False,N\A,['water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/tag/eurasian-watermilfoil/,1,2,False,N\A,['water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/tag/groundwater-grants/,1,2,False,N\A,['water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1091806223626833920,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/tag/make-water-work-champion/,1,2,False,N\A,['water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1091806223626833920,https://pbs.twimg.com/profile_images/892102006/OK_waterwise_logo_400x400.jpg,1,2,False,N\A,['water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1091806223626833920,https://pbs.twimg.com/profile_images/892102006/OK_waterwise_logo.jpg,1,2,False,N\A,['water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1091806223626833920,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1091806223626833920,/OkWaterWise,1,2,False,N\A,['Water'],href
